project,benchmark,params,warmupTime,measurementTime,warmupIterations,measurementIterations,forks,warmupTimeSec,measurementTimeSec,warmupIterationsTime,measurementIterationsTime,forkTime,time
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,stringLength=100000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,stringLength=1000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,stringLength=1000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,stringLength=1000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,stringLength=10000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,stringLength=100,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,stringLength=1,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,stringLength=10000,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,stringLength=10,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
protostuff/protostuff,io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,stringLength=1,1 s,1 s,5,10,1,1.0,1.0,5.0,10.0,15.0,15.0
r2dbc/r2dbc-h2,io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc,resultSize=100,5000 ms,2000 ms,2,2,1,5.0,2.0,10.0,4.0,14.0,14.0
r2dbc/r2dbc-h2,io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc,resultSize=10,5000 ms,2000 ms,2,2,1,5.0,2.0,10.0,4.0,14.0,14.0
r2dbc/r2dbc-h2,io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc,resultSize=100,5000 ms,2000 ms,2,2,1,5.0,2.0,10.0,4.0,14.0,14.0
