benchmark,technique,ci
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,Cov,"(0.8542916424280633, 1.1804809267411822)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,Divergence,"(0.9677650402961588, 2.0671280844175124)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3,Dev,"(1.2642464134366338, 3.1448783936757243)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3,Ci,"(0.7708457239686103, 1.200095556907911)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3,Cov,"(1.1037616610125516, 2.148309690316731)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3,Divergence,"(0.9436258782194984, 1.5884150735108482)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2,Dev,"(0.7411187018038562, 1.7708615092956406)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2,Ci,"(0.5772397009729137, 1.2897848959401077)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2,Cov,"(0.7156066582055168, 1.5123815591530343)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2,Divergence,"(0.872781720477614, 4.5565726552347865)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2,Dev,"(0.9192496150692099, 1.0402558839971048)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2,Ci,"(0.8883505524945676, 0.9887624722060087)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2,Cov,"(0.9389421601090729, 1.2008989448084675)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2,Divergence,"(0.9850995315221716, 1.446136992285837)"
