benchmark,technique,ci
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark#,Ci,"(0.9963395528904244, 1.01419395768925)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark#,Cov,"(1.000773023089066, 1.0205066876071)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark#,Divergence,"(1.00842866527256, 1.027320530759654)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark#,Dev,"(0.9987649802934866, 1.005291147919586)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark#,Ci,"(0.9983826214092411, 1.0148797767101292)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark#,Cov,"(1.0024611001085542, 1.0148527263093197)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark#,Divergence,"(1.0054253641223214, 1.0224917131684057)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,Dev,"(1.1192518391834552, 1.2848032921017554)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,Ci,"(1.0028431591186695, 1.2029647032560524)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,Cov,"(1.1084947765755708, 1.2303134640374718)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,Divergence,"(1.0723064655324845, 1.1619140868218765)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,Dev,"(1.0095460066972146, 1.9118098236143304)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,Ci,"(0.8754289112732971, 0.9931258890940301)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,Cov,"(0.9383286503110388, 1.0672321053516887)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#,Divergence,"(0.915117447435565, 1.0974804099426383)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,Dev,"(1.1065366031027808, 1.219552176578723)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,Ci,"(0.9800675270147247, 1.030809400523402)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,Cov,"(1.0672481794964546, 1.1459381170925689)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,Divergence,"(1.0403535523388248, 1.1198555721505892)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field#,Dev,"(0.9956279399458727, 1.0245580796815557)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field#,Ci,"(0.9700135514219264, 1.0271708633447934)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field#,Cov,"(0.9869813919758239, 1.0191562041177327)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field#,Divergence,"(0.9844118034274644, 1.015499242942895)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,Dev,"(1.1523226855258268, 1.2510560453808584)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,Ci,"(0.9700907700919402, 1.0967472595640573)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,Cov,"(1.1312607771240666, 1.2257666244832073)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,Divergence,"(1.0228068717550003, 1.1307288643026088)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1000,Dev,"(1.1450002257218788, 1.2325633805702096)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1000,Ci,"(0.972847727840678, 1.0169663331254537)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1000,Cov,"(1.0139637429597024, 1.1870264049167578)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1000,Divergence,"(0.9989031880619621, 1.094669815144477)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,Dev,"(0.8140420656719451, 1.0708163327724047)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,Ci,"(0.8866310642149965, 1.2911348275622394)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,Cov,"(0.8231010845586392, 1.055148898797577)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#,Divergence,"(0.9169924894871954, 1.1927872015306151)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,Dev,"(1.115965729474118, 1.359849905231876)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,Ci,"(0.9860483316868578, 1.1261971145578422)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,Cov,"(1.0856512436599481, 1.2569837979592886)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,Divergence,"(1.0157076148497337, 1.2097903087947885)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,Dev,"(1.1659409488348669, 1.3228496547489903)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,Ci,"(0.9736776961535094, 1.0199697220266943)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,Cov,"(1.157235399130968, 1.2475008843976425)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,Divergence,"(1.0161387577147774, 1.089317475731465)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,Dev,"(0.9890940257952451, 1.108046990141834)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,Ci,"(0.9564119096141696, 1.0303100470772701)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,Cov,"(0.9687214825167871, 1.0492805850646427)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field#,Divergence,"(0.9574190236916392, 1.01928777132805)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,Dev,"(1.181828203158796, 1.5762594615729335)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,Ci,"(0.9413610007689708, 1.1061328870240044)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,Cov,"(1.1442623862388517, 1.4628460752832582)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,Divergence,"(1.1491495482068146, 1.3830547593266158)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields#,Dev,"(1.0072272902199946, 1.233166610127532)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields#,Ci,"(0.9518160640266712, 1.025397943645757)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields#,Cov,"(0.9534987635680284, 1.1145412543436084)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields#,Divergence,"(0.9799411522802955, 1.0897509435672625)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,Dev,"(1.0243492147357052, 1.1997418078495161)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,Ci,"(0.9684886440827182, 1.0376769066425817)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,Cov,"(1.0012542944399128, 1.1172968896860955)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#,Divergence,"(0.9978149624819166, 1.087604556016148)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,Dev,"(1.1096617813523015, 1.5843015754130672)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,Ci,"(0.9544930309679465, 1.18329710599802)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,Cov,"(1.0739199716111354, 1.312033018536968)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#,Divergence,"(1.0440940944190507, 1.3004229432190877)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,Dev,"(1.0050464651939672, 1.0304656293048529)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,Ci,"(0.9971267966419758, 1.00595490727461)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,Cov,"(0.9980857444477457, 1.0110737698419177)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline#,Divergence,"(0.9989143680378517, 1.013428177145142)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,Dev,"(1.0961895093726735, 1.8163443643742603)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,Ci,"(0.9275232674006537, 1.0396385272488697)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,Cov,"(0.9479487997686542, 1.0665626297478448)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=1,Divergence,"(1.010827438514661, 1.3432312620940297)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,Dev,"(1.2356384923864208, 1.3790484900806408)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,Ci,"(1.0003960146474165, 1.0615429867648243)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,Cov,"(1.084505660383303, 1.15247865375237)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,Divergence,"(1.10271226616398, 1.2062885399827128)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,Dev,"(1.0024919787944464, 1.1341263841690388)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,Ci,"(0.940749306808099, 1.169938454581899)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,Cov,"(0.944518871867292, 1.3143955532716498)"
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#,Divergence,"(0.9819844772934828, 1.219679727423404)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10,Dev,"(1.0343092228027182, 1.5332696692735095)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10,Ci,"(0.96465779044354, 1.017500903812812)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10,Cov,"(0.9985114857223494, 1.1561815878345196)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10,Divergence,"(1.0384482868804172, 1.1683624254821963)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,Dev,"(0.9811629990738779, 1.0934446677674474)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,Ci,"(0.9181074565044871, 1.0105849770207083)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,Cov,"(0.9877954201876792, 1.1224013034017417)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,Divergence,"(1.050493308519321, 1.197587291883293)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=100,Dev,"(0.9900951977373637, 1.0201615832120643)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=100,Ci,"(0.9783775610538342, 0.99982929974286)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=100,Cov,"(1.010849259421209, 1.102443796275605)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=100,Divergence,"(0.988567506811219, 1.0184031273900902)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10,Dev,"(1.19873536905336, 1.303741766921712)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10,Ci,"(0.9800614068296917, 1.0683898679707322)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10,Cov,"(0.980066191067412, 1.118903015568261)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10,Divergence,"(1.0109718301867283, 1.1321796493282197)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=100,Dev,"(0.9863435528913007, 1.0267453514706373)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=100,Ci,"(0.984741403114973, 1.0384458277709563)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=100,Cov,"(0.9833062788955511, 0.9943103385218923)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=100,Divergence,"(1.000018224350279, 1.0380681773989218)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=1,Dev,"(1.1477319650184563, 1.2731351000858209)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=1,Ci,"(0.9679915526734658, 1.0518485185396955)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=1,Cov,"(0.977022887708293, 1.1483311823051325)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=1,Divergence,"(1.0091825029013863, 1.1467689062029935)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=200,Dev,"(1.0112415160278532, 1.027339661882687)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=200,Ci,"(0.9869790651647636, 1.0013522503196706)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=200,Cov,"(1.0021255969641873, 1.0344042232830473)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=200,Divergence,"(1.0011599806295606, 1.0222599211942818)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=100,Dev,"(0.9750937256684288, 0.983853972574485)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=100,Ci,"(0.9852519659936856, 1.0110788463571942)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=100,Cov,"(0.9975522795105312, 1.032531648774918)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=100,Divergence,"(1.0407803962506148, 1.139547213769154)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=10,Dev,"(1.022880344710816, 1.103565847758644)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=10,Ci,"(0.9699468072336616, 1.0142829922682872)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=10,Cov,"(0.9917532960541761, 1.0550431265383762)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=10,Divergence,"(1.0400184071757257, 1.1361150711972539)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=1,Dev,"(0.976973520887072, 1.1036973905356193)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=1,Ci,"(0.9729378369475318, 1.07084923353633)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=1,Cov,"(0.9839695967688972, 1.0414471831894505)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=1,Divergence,"(1.0198525465209076, 1.1763647761602358)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleJdbc#,Dev,"(1.132185242203732, 1.2518453870737682)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleJdbc#,Ci,"(1.0191457871108582, 1.2514139129456676)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleJdbc#,Cov,"(1.0315259538761263, 1.193525621227529)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleJdbc#,Divergence,"(1.0405366112058188, 1.1262250136191965)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedJdbc#,Dev,"(1.0602026697370253, 1.1803385902207537)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedJdbc#,Ci,"(0.9592942870804139, 1.019508393276096)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedJdbc#,Cov,"(0.9591457117120438, 1.0285872828013691)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedJdbc#,Divergence,"(0.9914143365761062, 1.0451655129452078)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleR2dbc#,Dev,"(1.0160803900023792, 1.4431895143914981)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleR2dbc#,Ci,"(0.9670256164729035, 1.0536265216747551)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleR2dbc#,Cov,"(0.9671188691386471, 1.0536753409118185)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleR2dbc#,Divergence,"(0.9988846474480786, 1.1013629614096094)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=200,Dev,"(1.0273803746092307, 1.1450503421749936)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=200,Ci,"(0.976457492732471, 1.0086210263469635)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=200,Cov,"(1.0021647120948405, 1.0556080385163948)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=200,Divergence,"(1.0161584485483357, 1.06458166977393)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=200,Dev,"(1.0019172044228428, 1.0260624199487611)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=200,Ci,"(0.988061554274432, 1.0090009886708726)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=200,Cov,"(0.9897087457677691, 1.0068551382204478)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=200,Divergence,"(0.9927410310871355, 1.0140204329720366)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=100,Dev,"(1.2112144056404146, 1.3571273919184306)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=100,Ci,"(0.9749832040462934, 1.0150753365572727)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=100,Cov,"(1.0281846380577946, 1.0900789626042868)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=100,Divergence,"(1.018948600607116, 1.0683270158361018)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10,Dev,"(1.2035215561028278, 1.3260001472180574)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10,Ci,"(0.9857698227880333, 1.0291541148966412)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10,Cov,"(0.9754329790760299, 1.0159358612772176)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10,Divergence,"(1.0621675821754595, 1.1842323209362653)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbc#,Dev,"(1.0700803759770205, 1.2364052228506237)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbc#,Ci,"(0.9706450002796487, 1.0658643874846923)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbc#,Cov,"(1.1985888700566034, 1.304870908754601)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbc#,Divergence,"(1.0581343559999532, 1.1556507836640155)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=1,Dev,"(1.1696629146666055, 1.3084616423036532)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=1,Ci,"(0.9620807689626714, 1.0053897574092532)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=1,Cov,"(0.969383475063632, 1.0386915176958074)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc#resultSize=1,Divergence,"(1.0831450517000463, 1.2387230370972855)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=200,Dev,"(0.9944178486245392, 1.0760257417116421)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=200,Ci,"(0.9776916016496117, 1.0365609435135006)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=200,Cov,"(0.9842052058459675, 1.0516533239779273)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=200,Divergence,"(1.0325082097019356, 1.1426117457504694)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=1,Dev,"(1.120968013356148, 1.2968597615936361)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=1,Ci,"(0.9553071936841072, 1.0397509967260303)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=1,Cov,"(1.1734454043096019, 1.2977440359362082)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=1,Divergence,"(0.9870796044381843, 1.2085704189240736)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10,Dev,"(1.325264596663186, 1.4190436174898178)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10,Ci,"(0.9672860699794763, 1.0373182310810436)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10,Cov,"(0.9664562988837017, 1.0196892913902793)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10,Divergence,"(1.001867493498546, 1.0411214425723718)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,Dev,"(1.0094034419589966, 1.0551806921745905)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,Ci,"(0.9850742528650843, 1.0380817313729604)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,Cov,"(1.1140229576718013, 1.3203042060439094)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,Divergence,"(1.0155349073732247, 1.0697279860819129)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#,Dev,"(0.9438025344695488, 0.9950384611071142)"
